r3rnd	9	30	1	1 3 3 3 1 2 2 1 2	2000
r3rnd	9	30	2	1 3 3 3 1 2 2 1 2	2000
id	8	20	1	1 1 1 1 1 1 1 1	2000
id	8	20	2	1 1 1 1 1 1 1 1	2000
r2per	8	20	1	1 2 1 2 1 2 1 2	2000
r2per	8	20	2	1 2 1 2 1 2 1 2	2000
r2sum	8	20	1	1 1 1 1 2 2 2 2	2000
r2sum	8	20	2	1 1 1 1 2 2 2 2	2000
r2blk	8	20	1	1 1 2 2 1 1 2 2	2000
r2blk	8	20	2	1 1 2 2 1 1 2 2	2000
r2rnd	8	20	1	1 2 2 1 2 1 1 2	2000
r2rnd	8	20	2	1 2 2 1 2 1 1 2	2000
id	12	45	1	1 1 1 1 1 1 1 1 1 1 1 1	2000
id	12	45	2	1 1 1 1 1 1 1 1 1 1 1 1	2000
r2per	12	45	1	1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	12	45	2	1 2 1 2 1 2 1 2 1 2 1 2	2000
r2sum	12	45	1	1 1 1 1 1 1 2 2 2 2 2 2	2000
r2sum	12	45	2	1 1 1 1 1 1 2 2 2 2 2 2	2000
r2blk	12	45	1	1 1 1 2 2 2 1 1 1 2 2 2	2000
r2blk	12	45	2	1 1 1 2 2 2 1 1 1 2 2 2	2000
r2rnd	12	45	1	1 1 2 2 1 1 1 2 2 2 1 2	2000
r2rnd	12	45	2	1 1 2 2 1 1 1 2 2 2 1 2	2000
r3per	12	45	1	1 2 3 1 2 3 1 2 3 1 2 3	2000
r3per	12	45	2	1 2 3 1 2 3 1 2 3 1 2 3	2000
r3sum	12	45	1	1 1 1 1 2 2 2 2 3 3 3 3	2000
r3sum	12	45	2	1 1 1 1 2 2 2 2 3 3 3 3	2000
r3blk	12	45	1	1 1 2 2 3 3 1 1 2 2 3 3	2000
r3blk	12	45	2	1 1 2 2 3 3 1 1 2 2 3 3	2000
r3rnd	12	45	1	3 1 3 2 3 2 2 1 3 2 1 1	2000
r3rnd	12	45	2	3 1 3 2 3 2 2 1 3 2 1 1	2000
r3per	9	25	1	1 2 3 1 2 3 1 2 3	2000
r3per	9	25	2	1 2 3 1 2 3 1 2 3	2000
r3sum	9	25	1	1 1 1 2 2 2 3 3 3	2000
r3sum	9	25	2	1 1 1 2 2 2 3 3 3	2000
r3blk	9	25	1	1 1 2 2 3 3 1 2 3	2000
r3blk	9	25	2	1 1 2 2 3 3 1 2 3	2000
r3rnd	9	25	1	1 3 3 3 1 2 2 1 2	2000
r3rnd	9	25	2	1 3 3 3 1 2 2 1 2	2000
id	8	16	1	1 1 1 1 1 1 1 1	2000
id	8	16	2	1 1 1 1 1 1 1 1	2000
